route_id,n,mean_sec,median_sec,std_sec,mean_m,median_m,std_m,mean_mmss,median_mmss,std_mmss,mean_km,median_km,std_km,mean_speed_mps,mean_speed_kmh,і1
A1,17,191.5882353,158,70.78317139646384,267.100993,230.18716619203116,91.23788248656628,3:12,2:38,1:11,0.2671009930134982,0.23018716619203117,0.091237882,1.3941408907674147,5.018907206762693,
A2,15,97.26666667,91,39.79315566897451,134.0465812,130.11904195406083,75.30778,1:37,1:31,0:40,0.13404658123926566,0.13011904195406082,0.07530778,1.378134831109654,4.961285391994754,
B1,5,218.2,239,80.77871006645253,280.9153282,325.1276156387287,108.98382144628806,3:38,3:59,1:21,0.2809153281828759,0.32512761563872866,0.10898382144628806,1.2874213023963148,4.6347166886267335,
B2,4,136.75,90.5,98.31708905,200.8809564,131.6850535698194,141.2604566413697,2:17,1:30,1:38,0.20088095641441742,0.13168505356981938,0.1412604566413697,1.4689649463577144,5.288273806887772,
B3,6,89.66666667,85,18.17324040083845,116.5175303,109.88769477429054,17.444196793707256,1:30,1:25,0:18,0.11651753025121332,0.10988769477429054,0.017444196793707255,1.2994520102365796,4.678027236851687,
B4,5,106.2,106,3.5637059362410923,161.8016577,160.87276234534212,7.598376105288106,1:46,1:46,0:04,0.16180165773861982,0.16087276234534212,0.007598376,1.523556099233708,5.484801957241349,
C1,6,232.1666667,244,47.54541688392969,314.9943775,342.16312469828154,69.80295015641214,3:52,4:04,0:48,0.3149943775351632,0.34216312469828153,0.06980295,1.3567597022332947,4.884334928039861,
C2,5,108,,,150,,,,,,,,,,,
D1,11,208.9090909,223,100.40861969517812,281.4778061,322.6127847981446,119.50026103762683,3:29,3:43,1:40,0.2814778060975968,0.3226127847981446,0.11950026103762683,1.347369829013736,4.850531384449449,
E1,5,321,318,50.950956811427986,421.8608324,391.23558754435743,66.35465916054066,5:21,5:18,0:51,0.42186083244077544,0.39123558754435744,0.066354659,1.3142082007500793,4.731149522700285,
E2,6,249.6666667,293,89.17099678,365.5815585,455.74894151793524,143.59331675228682,4:10,4:53,1:29,0.36558155845917356,0.4557489415179352,0.14359331675228681,1.4642786053104415,5.271402979,
E3,13,186.0769231,187,30.426034735791482,268.9887667,290.5668405174801,54.16279743255473,3:06,3:07,0:30,0.26898876669084043,0.2905668405174801,0.054162797432554734,1.445578324506377,5.204081968222957,
E4,5,199.8,196,9.731392500562293,313.6410798,300.9893039,23.98345312042728,3:20,3:16,0:10,0.3136410798418892,0.30098930388103995,0.023983453,1.569775174,5.651190627781788,
E5,5,210,209,7.615773105863906,301.1141492,300.26995880071337,4.199631173019058,3:30,3:29,0:08,0.301114149,0.3002699588007134,0.004199631,1.4338769008880428,5.161956843196954,